title,description,category,organization,recurrence,start_date,end_date,region,zip_code,owner
Brooklyn Special Olympics Bowling Tournament,Volunteers are needed to help developmentally disabled adults at a bowling tournament.  No bowling skills are required.,Helping Neighbors in Need,Brooklyn Special Olympics,onetime,March 27 2022,March 27 2022,QUEENS,20531,testadmin
Tutor Students with FC Harlem,Volunteers will be responsible for helping the student-athletes complete their homework assignments and study for upcoming exams.,Education,FC Harlem,ongoing,April 1 2022,July 27 2022,MANHATTAN,12423,testadmin
Fitness Instructor for Seniors,A program for seniors to encourage fitness.,Health,Metropolitan Council on Jewish Poverty,ongoing,April 8 2022,December 31 2023,MANHATTAN,13096,testadmin
Help Clean Up after Hurricane Irene in Manhattan,Help clean up tree limbs and debris that came down during Hurricane Irene.,Emergency Preparedness,NYC Service,ongoing,August 28 2022,August 30 2022,MANHATTAN,11728,testadmin
Liver Life Walk 2011,Did you know that 1 in 10 people in the United States face a future with liver disease?The American Liver Foundation is working toward a world free of liver disease and we need your help!Together we will make a difference.Join the American Liver Foundation as a Liver Life Walk Volunteer Crew Member!,Strengthening Communities,American Liver Foundation,ongoing,May 22 2022,June 12 2022,MANHATTAN,11727,testadmin
Volunteer for an Outreach Campaign on Public Benefits,Volunteers needed for an outreach campaign marketing Food Access and Medicaid within the 5 boroughs of NYC.,Helping Neighbors in Need,New York Legal Assistance Group,ongoing,August 15 2022,October 15 2023,MANHATTAN,11726,testadmin
Public Relations Intern,"Seeking a highly motivated and energetic Public Relations Intern, who will be responsible for executing our public relations goals. The Public Relations Intern will write and edit press releases, arrange media interviews and maintain an on-going relationship with media professionals and the public.",Strengthening Communities,"Spoons Across America dba Farm to Table, Inc.",ongoing,January 26 2022,January 26 2023,BROOKLYN,17617,testadmin
Summer Workshop Volunteer,"Girls Inc. of NYC seeks Summer Workshop Volunteers to support the Girls Inc. program facilitators.  Volunteers will support individual girls and small groups, while the girls explore various topics including Art, Theatre, Economic Literacy and Career Skill Building.",Education,Girls Incorporated Of New York City,ongoing,June 5 2022,June 7 2022,BROOKLYN,16865,testadmin
JASA Volunteer ESL Teacher at H.E.S. Senior Center,"We are in need of a volunteer to teach an ESL class at our H.E.S. Senior Center, located in Canarsie.",Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA),ongoing,March 7 2022,March 6 2023,BROOKLYN,13827,testadmin
Volunteer Manager for Care to Share Project,UJA is currently looking for volunteer managers for its Care to Share Project.,Education,New York Legal Assistance Group,ongoing,August 24 2022,October 24 2023,MANHATTAN,11726,testadmin
Volunteer at a Hurricane Irene Evacuation Center - Queens,"Hundreds of New Yorkers spent Saturday night in a City shelter as a result of Hurricane Irene.  Help volunteers as they wake up, spend the morning in the shelter, and transition home.",Emergency Preparedness,NYC Service,ongoing,August 28 2022,August 29 2022,MANHATTAN,11728,testadmin
Grant Proposal Preparation for Professionals,"Successful grant proposal preparation not only requires a deep understanding of the organization that one is preparing the grant for, but also an understanding of the grantmakers’ expectations. To prepare the most effective grant proposal, an organization should have a plan of attack",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Help New Yorkers Affected by the Storm in the Bronx,"Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Helping Neighbors in Need,NYC Service,onetime,January 23 2022,January 23 2022,MANHATTAN,11728,testadmin
Photo Essay for Professionals,"Photography is a powerful way for an organization to showcase its work, the communities and constituents it serves, and create a visual and emotional appeal to its supporters.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Marketing and Communications Intern,"The marketing and communications intern will assist with social media efforts, research, development of marketing materials and fundraising.",Strengthening Communities,Brooklyn Community Services,ongoing,May 1 2022,May 1 2023,BROOKLYN,17619,testadmin
Science Center Open House Volunteers!,"The Iridescent NYC Science Studio (www.iridescentlearning.org) aims to evolve the press-and-watch science center model into a hub of design, creativity, and learning by doing. We are looking for volunteers to operate cool exhibits at our first open house!",Education,Iridescent,onetime,March 18 2022,March 18 2022,BRONX,12343,testadmin
Join the ING NYC Marathon and Run for Art Programs: Team Free Arts!,Free Arts NYC  is recruiting volunteers to join Team Free Arts and raise funds for our unique art and mentoring programs.,Strengthening Communities,Free Arts NYC,onetime,November 6 2022,November 6 2022,MANHATTAN,12080,testadmin
"Chefs, Nutritionists and Foodies Wanted!","We are looking for chefs, culinary students, dietitians, and home cooks to teach formerly homeless individuals how to prepare healthy and affordable meals in Brooklyn.",Health,"Services for the UnderServed, Inc.",ongoing,April 15 2022,April 14 2023,MANHATTAN,11722,testadmin
Susan G. Komen for the Cure's Greater NYC Affiliate Needs Volunteers,"Help the fight against breast cancer by volunteering with Komen Greater NYC-- advertise September's Race for the Cure at an outdoor farmer's market, help out one of our other summer initiatives, or volunteer on Race for the Cure Weekend 2011!",Health,The Greater New York City Affiliate Of Susan G. Komen For The Cure,ongoing,June 29 2022,September 18 2022,MANHATTAN,12080,testadmin
Volunteer at Highland Park Strawberry Festival,"Help out with arts and crafts, face painting, games and a strawberry eating contest at Highland Park, Queens.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,May 14 2022,May 14 2022,QUEENS,24011,testadmin
Emergency Preparedness Organization Seeks Community Trainers,World Cares Center will be providing 15 training sessions to a group of Brooklyn youth ages 13-18 on preventing and responding to emergencies.  We are looking for individuals who can co-facilitate the delivery of these sessions which will take place for 1 hour a week from March-June 2011.,Emergency Preparedness,World Cares Center,ongoing,February 1 2022,July 1 2022,MANHATTAN,12080,testadmin
Sports Marketing Specialist,We are looking to attain a highly skilled sports marketing specialist who can assist securing sponsorship opportunities for our non-profit program and events.,Strengthening Communities,Big Apple Basketball,ongoing,February 23 2022,February 23 2023,MANHATTAN,12073,testadmin
French Translator,Volunteer needed to translate written materials from English to French.,Helping Neighbors in Need,"Services for the UnderServed, Inc.",ongoing,July 20 2022,September 1 2022,MANHATTAN,11722,testadmin
Communications Intern,HAI is looking for two interns to work with the Director of Communications.,Strengthening Communities,Hospital Audiences Inc. (HAI),ongoing,August 12 2022,August 11 2023,MANHATTAN,12075,testadmin
Staten Island: Zumba Instructor for Shape Up New York!,NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at Faber Park in Staten Island.,Health,New York City Department of Parks & Recreation,ongoing,September 16 2022,September 15 2023,MANHATTAN,12426,testadmin
WordPress Blog for Professionals,Blogs enable organizations to easily publish a stream of new content. WordPress is a free open-source and SEO-friendly blogging software that organizations can use to build blogs and provide regularly updated content to their audiences,Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Lifeguard Workshop Facilitators,"Lifeguard facilitators travel the greater NYC area, conducting workshops for youth and adults alike in schools and other youth-oriented venues.",Strengthening Communities,The Trevor Project,ongoing,May 18 2022,May 17 2023,MANHATTAN,13096,testadmin
Volunteer Archivist Needed,"The Archivist will be responsible for organizing Lighthouse archives so it is easily accessible and develop a plan for cataloging, housing, and displaying current archival items, and handling incoming items going forward.  This is a flexible with a requirement of 6-10 hours per week.",Strengthening Communities,Lighthouse International,ongoing,June 14 2022,July 13 2022,MANHATTAN,12419,testadmin
Website Design for Professionals,"Websites give an organization an Internet presence - providing information about the organization, as well as showcasing the achievements of the organization. A website is also useful channel of communication between the organization and its donors and beneficiaries.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
